sample	paired	tissue	subtissue	origin	body_location
SRS1700703	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS1700704	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS1700705	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS1700706	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS1478833	n	Cornea	Cornea_Adult.Tissue	Cornea_AdultTissue	Cornea_Adult.Tissue
SRS1478835	n	Cornea	Cornea_Adult.Tissue	Cornea_AdultTissue	Cornea_Adult.Tissue
SRS1478834	n	Cornea	Cornea_Fetal.Tissue	Cornea_StemCellLine	Cornea_Fetal.Tissue
SRS1478838	n	Cornea	Cornea_Fetal.Tissue	Cornea_StemCellLine	Cornea_Fetal.Tissue
SRS1478836	n	Cornea	Cornea_Fetal.Tissue	Cornea_StemCellLine	Cornea_Fetal.Tissue
SRS1478837	n	Cornea	Cornea_Fetal.Tissue	Cornea_StemCellLine	Cornea_Fetal.Tissue
SRS1817764	n	Cornea	Cornea_Adult.Tissue	Cornea_AdultTissue	Cornea_Adult.Tissue
SRS1817763	n	Cornea	Cornea_Adult.Tissue	Cornea_AdultTissue	Cornea_Adult.Tissue
SRS1817754	n	Cornea	Cornea_Adult.Tissue	Cornea_AdultTissue	Cornea_Adult.Tissue
SRS1817753	n	Cornea	Cornea_Adult.Tissue	Cornea_AdultTissue	Cornea_Adult.Tissue
SRS1817752	n	Cornea	Cornea_Adult.Tissue	Cornea_AdultTissue	Cornea_Adult.Tissue
SRS2305607	y	RPE	RPE_Fetal.Tissue	RPE_FetalTissue	RPE_Fetal.Tissue
SRS2305609	y	RPE	RPE_Fetal.Tissue	RPE_StemCellLine	RPE_Fetal.Tissue
SRS2511376	y	Retina	Retina_Fetal.Tissue	Retina_StemCellLine	Retina_Fetal.Tissue
SRS2511377	y	Retina	Retina_Fetal.Tissue	Retina_StemCellLine	Retina_Fetal.Tissue
SRS2511378	y	Retina	Retina_Fetal.Tissue	Retina_StemCellLine	Retina_Fetal.Tissue
SRS2511379	y	Retina	Retina_Fetal.Tissue	Retina_StemCellLine	Retina_Fetal.Tissue
SRS2511380	y	Retina	Retina_Fetal.Tissue	Retina_StemCellLine	Retina_Fetal.Tissue
SRS2511382	y	Retina	Retina_Fetal.Tissue	Retina_StemCellLine	Retina_Fetal.Tissue
SRS2563735	n	Lens	Lens_Stem.Cell.Line	Lens_Stem.Cell.Line	Lens_Stem.Cell.Line
SRS2563736	n	Lens	Lens_Stem.Cell.Line	Lens_Stem.Cell.Line	Lens_Stem.Cell.Line
SRS2563737	y	Lens	Lens_Stem.Cell.Line	Lens_Stem.Cell.Line	Lens_Stem.Cell.Line
SRS2563738	y	Lens	Lens_Stem.Cell.Line	Lens_Stem.Cell.Line	Lens_Stem.Cell.Line
SRS2563739	y	Lens	Lens_Stem.Cell.Line	Lens_Stem.Cell.Line	Lens_Stem.Cell.Line
SRS2563740	y	Lens	Lens_Stem.Cell.Line	Lens_Stem.Cell.Line	Lens_Stem.Cell.Line
SRS2445756	n	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS2445757	n	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS2445758	n	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS2445759	n	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS2582171	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582155	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582163	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582153	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582149	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582161	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582156	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582162	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582160	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582158	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582147	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582154	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582170	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582169	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582157	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582151	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582164	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582165	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582159	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582166	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582168	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582167	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582148	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582152	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582150	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS3729711	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729712	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729713	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729714	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729715	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729716	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729717	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729718	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729719	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729720	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729721	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729722	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729723	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729724	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729725	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729726	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729727	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729728	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729729	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729730	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729731	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729732	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729733	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729734	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729735	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729736	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729737	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729738	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729739	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729740	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
SRS3729741	n	Retina	Retina_Fetal.Tissue	Retina_Organoid	Retina_Fetal.Tissue
HM7FMBBXX_16496358_S54	y	RPE	RPE_Fetal.Tissue	kapil_ipsc	RPE_Fetal.Tissue
HM7FMBBXX_16496360_S56	y	RPE	RPE_Fetal.Tissue	kapil_ipsc	RPE_Fetal.Tissue
HM7FMBBXX_16496356_S52	y	RPE	RPE_Fetal.Tissue	kapil_ipsc	RPE_Fetal.Tissue
HM7HWBBXX_16424741_S52	y	RPE	RPE_Fetal.Tissue	kapil_ipsc	RPE_Fetal.Tissue
HM7MVBBXX_16424741_S63	y	RPE	RPE_Fetal.Tissue	kapil_ipsc	RPE_Fetal.Tissue
HM7FMBBXX_16424741_S61	y	RPE	RPE_Fetal.Tissue	kapil_ipsc	RPE_Fetal.Tissue
HM7HWBBXX_16424750_S61	y	RPE	RPE_Fetal.Tissue	kapil_ipsc	RPE_Fetal.Tissue
HM7FMBBXX_16424750_S70	y	RPE	RPE_Fetal.Tissue	kapil_ipsc	RPE_Fetal.Tissue
HM7MVBBXX_16424750_S72	y	RPE	RPE_Fetal.Tissue	kapil_ipsc	RPE_Fetal.Tissue
hfngl_ipscrpe_RNA_D0	y	ESC	ESC_Stem.Cell.Line	hufnagel_ipsc	ESC_Stem.Cell.Line
hfngl_ipscrpe_RNA_D10	y	ESC	ESC_Stem.Cell.Line	hufnagel_ipsc	ESC_Stem.Cell.Line
hfngl_ipscrpe_RNA_D15	y	ESC	ESC_Stem.Cell.Line	hufnagel_ipsc	ESC_Stem.Cell.Line
hfngl_ipscrpe_RNA_D20	y	RPE	RPE_Fetal.Tissue	hufnagel_ipsc	RPE_Fetal.Tissue
hfngl_ipscrpe_RNA_D25	y	RPE	RPE_Fetal.Tissue	hufnagel_ipsc	RPE_Fetal.Tissue
hfngl_ipscrpe_RNA_D2	y	ESC	ESC_Stem.Cell.Line	hufnagel_ipsc	ESC_Stem.Cell.Line
hfngl_ipscrpe_RNA_D40	y	RPE	RPE_Fetal.Tissue	hufnagel_ipsc	RPE_Fetal.Tissue
hfngl_ipscrpe_RNA_TW	y	RPE	RPE_Fetal.Tissue	hufnagel_ipsc	RPE_Fetal.Tissue
